PORT_CODE,DATE,IEC,HS_CODE,GOODS_DESCRIPTION,MASTER_CATEGORY,MODEL_NAME,MODEL_NUMBER,CAPACITY,QTY,UNIT_OF_MEASURE,PRICE,UNIT_OF_MEASURE.1,QUANTITY,UNIT,UNIT_PRICE_INR,TOTAL_VALUE_INR,UNIT_PRICE_USD,TOTAL_VALUE_USD,DUTY_PAID_INR,YEAR,MONTH,STD_UNIT,EXTRACTED_MODEL,EXTRACTED_MATERIAL,EMBEDDED_QTY,EXTRACTED_USD_PRICE,GRAND_TOTAL_INR,LANDED_COST_PER_UNIT,CATEGORY,SUB_CATEGORY,SUPPLIER_NAME
INNSA1,2025-07-17,301049751,73239990,STEEL HAND BLENDER (SR-13) (QTY: 540 PCS/USD 0.337 PER PCS) STEEL HAND BLENDER (SR-13) (QTY: 540 PCS/USD 0.337 PER PCS),,,,,,,,,33.0,KGS,518.8409091,17121.75,6.019036068,198.6281903,6273.4,2025,7,KGS,STEEL,STEEL,540.0,0.337,23395.15,708.9439393939394,GENERAL,STANDARD,Global Supplier Group-4
INNSA1,2025-07-17,301049751,73239990,STEEL SALT BOTTLE (NP-19) (QTY: 6624 PCS/USD 0.446 PER PCS) STEEL SALT BOTTLE (NP-19) (QTY: 6624 PCS/USD 0.446 PER PCS),,,,,,,,,1030.4,KGS,269.7573564,277957.98,3.129435689,3224.570534,101843.9,2025,7,KGS,STEEL,STEEL,6624.0,0.446,379801.88,368.5965450310559,GENERAL,STANDARD,Global Supplier Group-3
INNSA1,2025-07-17,301049751,73239390,STEEL FILTER BALL WITH CHAIN (SR-10) (QTY: 540 PCS/USD 0.258PER PCS)STEEL FILTER BALL WITH CHAIN (SR-10) (QTY: 540 PCS/USD 0.25,,,,,,,,,12.0,KGS,1087.744167,13052.93,12.61884184,151.4261021,4782.7,2025,7,KGS,STEEL,STEEL,540.0,0.258,17835.63,1486.3025,GENERAL,STANDARD,Global Supplier Group-3
INNSA1,2025-07-16,301049751,73239990,STEEL HANGER WITH HOOK (SL-89) (QTY: 70056 PCS/CNY 7.45 PERPCS)STEEL HANGER WITH HOOK (SL-89) (QTY: 70056 PCS/CNY 7.45 PER,,,,,,,,,15568.0,KGS,416.9154856,6490540.28,4.836606562,75296.29095,2378134.0,2025,7,KGS,STEEL,STEEL,70056.0,,8868674.280000001,569.6733221993834,GENERAL,STANDARD,Global Supplier Group-3
INNSA1,2025-07-15,301049751,73239390,STEEL INFUSER (SR-20) (QTY: 360 PCS/USD 0.743 PER PCS) STEEL INFUSER (SR-20) (QTY: 360 PCS/USD 0.743 PER PCS),,,,,,,,,15.0,KGS,1678.824667,25182.37,19.47592421,292.1388631,9226.8,2025,7,KGS,STEEL,STEEL,360.0,0.743,34409.17,2293.9446666666668,GENERAL,STANDARD,Global Supplier Group-4
INNSA1,2025-07-15,301049751,73239990,"MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY:1,232 PCS/ CNY:101 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY:1,23",,,,,,,,,4004.0,KGS,424.5167807,1699765.19,4.924788639,19718.85371,622793.9,2025,7,KGS,MILD,STEEL,1.0,,2322559.09,580.0597127872128,GENERAL,STANDARD,Global Supplier Group-2
INNSA1,2025-07-10,301049751,73239990,SB-12 STEEL TEA STRAINER BIG (QTY:44226 PCS/USD 0.975 PER PCS)SB-12 STEEL TEA STRAINER BIG (QTY:44226 PCS/USD 0.975 PER PC,,,,,,,,,10810.8,KGS,394.9527121,4269754.78,4.581818006,49533.1181,1564438.2,2025,7,KGS,SB-12,STEEL,44226.0,0.975,5834192.98,539.6633903133904,GENERAL,STANDARD,Global Supplier Group-4
INNSA1,2025-07-02,301049751,73231000,"STEEL SCRUBBER 6PCS SET (OKS-4156) (QTY:98,400 PCS/USD:0.228PER PCS)STEEL SCRUBBER 6PCS SET (OKS-4156) (QTY:98,400 PCS/USD:0.228",,,,,,,,,9151.0,KGS,237.4236783,2172664.08,2.708769861,24787.95299,955103.1,2025,7,KGS,STEEL,STEEL,98.0,0.228,3127767.18,341.79512403016065,CLEANING,STANDARD,Global Supplier Group-4
INNSA1,2025-06-28,301049751,73231000,STEEL SCRUBBER 2PCS SET (8001-2) (QTY: 168000 SET/USD 0.142PER SET)STEEL SCRUBBER 2PCS SET (8001-2) (QTY: 168000 SET/USD 0.142,,,,,,,,,4900.0,KGS,468.819102,2297213.6,5.348763286,26208.9401,1009855.1,2025,6,KGS,STEEL,STEEL,168000.0,0.142,3307068.7,674.9119795918368,CLEANING,STANDARD,Global Supplier Group-5
INNSA1,2025-06-27,301049751,73239990,MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 1232 PCS/CNY 101 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 123,,,,,,,,,4004.0,KGS,431.5472852,1727915.33,4.923528639,19713.80867,633108.2,2025,6,KGS,MILD,STEEL,1232.0,,2361023.5300000003,589.6662162837164,GENERAL,STANDARD,Global Supplier Group-2
